fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Feb,24,ODISHA,2404,MAYURBHANJ,11679856,256.686510034953,44,365,8730.474957533,108594,0,70330,8683150,792673,58382,4386906,311524,647.86584,31666.815493633,193441,254644,357600,590781,5251,450255,717402,178924,22288.4746961,4510932,86,37.87,9.18,100.08,NA
2024-2025,Feb,24,ODISHA,2426,BOUDH,1791595,254.752278933541,39,37,2219.0360086271,10314,0,11690,1442530,255116,27492,146850,14100,125.48921,6019.40326792711,36068,56064,73444,133732,571,96610,169380,22004,3674.87804930001,663311,79,38.07,18.02,99.56,NA
2024-2025,Feb,24,ODISHA,2429,RAYAGADA,5309506,266.750947095881,48,375,5105.832844455,16782,0,26582,3576111,624479,34780,2241816,125152,240.49943,14885.642236155,74096,102461,126330,203546,5700,163254,252982,43364,9539.3099617,1752163,52,57.72,10.14,99.52,NA
2024-2025,Feb,24,ODISHA,2430,NABARANGAPUR,6250852,276.739270769247,51,190,7735.856442515,14443,0,29142,4544652,695330,41925,2252452,145421,229.77868,20542.471926315,88195,120565,168188,268943,7313,217660,336530,43585,12576.8368038,2067288,66,34.95,27.31,99.55,NA
2024-2025,Feb,24,ODISHA,2405,BALESHWAR,2755970,256.418544121855,36,193,2734.635192421,28510,0,36647,2065269,303154,45073,128579,18853,217.32231,8247.690204421,56593,77479,165298,279639,235,319410,493149,65157,5295.732702,1035354,76,32.11,5.02,100.1,NA
2024-2025,Feb,24,ODISHA,2413,PURI,1772439,261.061659194337,28,82,1081.185336432,19170,0,17097,1067494,176547,39698,4987,1064,177.56586,4045.568744632,37385,57563,121875,252276,242,216098,407478,36267,2786.8175482,473458,85,29.8,9.22,99.7,NA
2024-2025,Feb,24,ODISHA,2418,KENDRAPARA,1996716,255.809625856617,28,105,438.078060334,8205,0,19649,644833,110815,43670,1926,1281,149.62049,2237.243435034,22318,30392,129178,227345,50,219625,355069,27854,1649.5448847,280157,49,40.3,2.64,99.77,NA
2024-2025,Feb,24,ODISHA,2405,BALESHWAR,2755970,257.057817026214,36,193,2734.342292421,28491,0,36617,2048829,301551,45059,128011,18851,217.32231,8218.339704421,56407,77185,165208,279437,231,313172,485434,65108,5266.675102,1027709,76,32.16,4.97,100.1,NA
2024-2025,Feb,24,ODISHA,2407,DHENKANAL,4622474,259.408521758377,41,119,4150.182224818,11577,0,15192,2069249,334657,51810,325165,37994,238.91848,9756.908947218,50351,68479,157534,274304,1026,207266,352437,26769,5367.8082424,994384,58,44.69,19.37,99.4,NA
2024-2025,Feb,24,ODISHA,2413,PURI,1772439,261.334161129458,28,81,1081.158386432,19147,0,17064,1051974,174115,39637,4963,1064,177.56586,4007.891674632,37030,56940,121779,251954,238,214582,404838,36211,2749.1674282,466773,85,29.6,9.18,99.7,NA
2024-2025,Feb,24,ODISHA,2419,JAGATSINGHAPUR,1388632,258.211586592441,27,85,1598.223994688,5390,0,9039,596738,71612,24776,1956,572,104.68002,3243.750672288,22074,32400,82432,140889,140,137781,219719,14429,1540.8466576,254705,52,51.22,4.54,99.74,NA
2024-2025,Feb,24,ODISHA,2424,GAJAPATI,3036893,283.486673258968,46,150,3472.903615221,10351,0,19516,2601014,141666,11266,1810280,113824,223.72165,11070.153324821,55683,83262,92796,173135,4107,114771,205437,29867,7373.52805960001,1315024,61,44.8,26.12,99.7,NA
2024-2025,Feb,24,ODISHA,2426,BOUDH,1791595,255.073578353014,39,37,2178.4360086271,10288,0,11588,1406921,249919,27438,143757,14100,121.63602,5888.75576792711,35651,55340,73350,133538,546,96264,168743,21876,3588.68373930001,646885,79,37.18,18.48,99.55,NA
2024-2025,Feb,24,ODISHA,2427,SONEPUR,1792934,257.626182794769,41,47,2438.706382229,9521,0,10458,1446037,240143,27659,107683,10564,178.24908,6342.325387129,35016,48572,80816,138940,626,120315,201046,19979,3725.3699249,625355,78,32.99,14.11,100.47,NA
2024-2025,Dec,24,ODISHA,2401,SAMBALPUR,2267040,253.141098760572,37,77,802.204490257,12085,0,10454,1412264,202921,24392,719618,78949,184.24247,4561.467567257,37323,53036,90531,160146,675,128845,225523,22539,3575.020607,656138,67,34.17,36.29,99.64,NA
2024-2025,Dec,24,ODISHA,2406,CUTTACK,2010049,251.527513475932,28,52,1506.012769746,6673,0,12034,471767,65096,46582,28780,10583,122.02227,2814.658844246,16528,23546,121479,237739,67,202350,368320,18707,1186.6238045,220346,59,38.82,16.39,99.71,NA
2024-2025,Dec,24,ODISHA,2409,BOLANGIR,7638794,305.078308416859,47,447,7467.65492618999,29739,0,38244,5666532,787837,67916,1235087,100567,347.909,25102.92389769,118644,194474,232956,438186,11093,288327,524412,67983,17287.3599715,2466261,72,36.05,49.67,99.75,NA
2024-2025,Dec,24,ODISHA,2411,KORAPUT,8041556,268.848222426204,46,513,12028.648628416,21917,0,40128,5344712,719678,46010,3058872,189748,233.20187,26631.013704216,114689,149460,220823,339044,6767,258437,386780,62045,14369.1632058,2450683,58,51.94,20.27,99.31,NA
2024-2025,Dec,24,ODISHA,2413,PURI,1636892,268.412961263303,25,48,923.86755201,16071,0,17065,685758,126138,38823,3439,1022,175.63772,2940.16862691,26388,40061,119574,245760,126,196162,372166,33136,1840.6633549,309930,85,33.2,9.86,99.64,NA
2024-2025,Dec,24,ODISHA,2416,DEOGARH,1088902,262.291782423682,36,145,1505.045574559,3586,0,4486,786547,93362,13373,270407,29846,82.59781,3650.691530459,21378,32188,49734,91018,403,65364,116021,8072,2063.0481459,399242,35,52.93,20.37,99.84,NA
2024-2025,Dec,24,ODISHA,2423,KHORDHA,1269853,254.460294584571,28,61,1344.963625472,4670,0,8426,438414,39989,16276,30493,8624,74.54109,2535.094271372,15420,21283,67401,124226,188,109529,190321,13096,1115.5895559,196524,54,48.54,16.55,99.95,NA
2024-2025,Dec,24,ODISHA,2426,BOUDH,1646300,255.675315067793,36,34,1806.1860598141,8759,0,10481,1134121,208394,27152,124193,13997,88.06929,4793.92278981411,30681,47101,72350,131636,354,93945,164415,19240,2899.66744000001,520756,77,39.56,19.65,99.52,NA
2024-2025,Dec,24,ODISHA,2430,NABARANGAPUR,5753716,271.663597053774,46,170,6532.422418741,13406,0,27388,3627149,555611,41538,1792797,145670,168.05287,16554.118732641,78037,105863,165959,268290,4585,212466,331569,40794,9853.6434439,1649443,65,34.01,28.53,99.45,NA
2024-2025,Dec,24,ODISHA,2431,MALKANGIRI,2992175,253.977202240068,47,300,3670.399518735,11799,0,18947,2610635,616279,39205,1569578,92246,150.04528,10450.862532435,55010,74659,97274,157997,3712,115555,182392,30746,6630.4177337,1140001,66,42.59,32.21,99.65,NA
2024-2025,Dec,24,ODISHA,2407,DHENKANAL,4172515,260.523951585833,39,111,3743.00042068,10377,0,15751,1739780,292921,51568,290761,37849,180.12494,8455.66896558,44567,59893,156577,272473,812,200066,341768,26128,4532.5436049,832994,58,44.34,19.51,99.36,NA
2024-2025,Dec,24,ODISHA,2413,PURI,1636892,268.169063945923,25,48,923.90220201,16554,0,17064,693977,127127,38827,3460,1022,175.63772,2960.57154691,26697,40516,119627,245897,128,196319,372492,33618,1861.0316249,313511,85,32.96,9.88,99.64,NA
2024-2025,Dec,24,ODISHA,2423,KHORDHA,1269853,254.037088537093,28,61,1345.253625472,4744,0,8432,445271,40594,16305,31212,8684,74.54109,2550.948199972,15535,21460,67497,124383,194,109562,190407,13176,1131.1534845,199912,54,48.57,16.35,99.95,NA
2024-2025,Dec,24,ODISHA,2430,NABARANGAPUR,5753716,271.65573216139,46,173,6534.798688741,13417,0,27481,3663318,561317,41608,1808775,145730,168.05287,16654.464893041,78466,106482,166099,268481,4694,212729,331904,40898,9951.6133343,1664866,65,34.01,28.58,99.46,NA
2024-2025,Dec,24,ODISHA,2401,SAMBALPUR,2267040,253.141516047041,37,73,801.650090257,12081,0,10435,1402595,201332,24374,714989,78926,184.24247,4536.442807257,37035,52608,90503,160103,673,128793,225450,22516,3550.550247,651847,67,34,36.29,99.64,NA
2024-2025,Dec,24,ODISHA,2403,KENDUJHAR,7581729,253.352961741001,37,332,2580.577304407,27263,0,38148,4249693,435507,48245,2163536,209541,247.05156,13594.351944807,112856,161955,250997,450273,2426,315101,538342,65411,10766.7230804,2200959,83,30.72,17.83,99.8,NA
2024-2025,Dec,24,ODISHA,2406,CUTTACK,2010049,252.442159657117,28,52,1505.643169746,6664,0,11915,469431,64797,46575,28719,10580,122.02227,2812.707194246,16356,23313,121381,237556,67,202231,368120,18579,1185.0417545,219306,58,38.92,16.46,99.71,NA
2024-2025,Dec,24,ODISHA,2409,BOLANGIR,7638794,305.058374834838,47,447,7464.56770618999,29680,0,38230,5645980,785132,67900,1229868,100543,347.909,25036.01153769,118416,194054,232912,438096,11029,288228,524235,67910,17223.5348315,2457272,72,36.06,49.66,99.75,NA
2024-2025,Dec,24,ODISHA,2427,SONEPUR,1566354,258.030942573421,37,37,2068.469668094,8437,0,10010,1155963,202585,27346,85982,10353,122.56778,5173.779672794,30615,42013,79502,136486,463,117193,195683,18447,2982.7422247,506051,77,34.89,14.93,99.51,NA
2024-2025,Feb,24,ODISHA,2403,KENDUJHAR,8153598,253.327533916282,42,432,3150.30633867,46146,0,35190,5464632,553860,48703,2786785,211327,395.64761,17389.37143187,128660,186641,253123,454748,4578,327862,557487,81336,13843.4174832,2835982,86,31.76,20.24,99.82,NA
2024-2025,Feb,24,ODISHA,2409,BOLANGIR,8683680,304.428043624456,52,492,8730.08750750498,31779,0,38902,7034999,978906,68791,1556153,101705,451.94373,30598.541062205,132762,219768,235565,443947,15983,307893,558939,70681,21416.5098247,3074982,72,33.93,51.61,99.79,NA
2024-2025,Feb,24,ODISHA,2411,KORAPUT,8964699,268.617985651351,49,553,14977.677562338,25885,0,40219,6219122,830013,46424,3559124,191316,367.27442,32050.632223938,124690,163125,222709,341931,9636,266985,398480,66104,16705.6802416,2850866,58,51.11,20.22,99.36,NA
2024-2025,Feb,24,ODISHA,2413,PURI,1772439,259.817360018028,29,85,1086.493026432,19301,0,17296,1127163,184547,39858,5165,1068,209.65645,4224.714626132,38772,59815,122242,253240,280,218992,412643,36597,2928.5651497,498523,85,30.59,9.07,99.67,NA
2024-2025,Feb,24,ODISHA,2427,SONEPUR,1792934,257.140527414596,41,50,2439.288562229,9667,0,10428,1486781,245873,27759,111194,10612,190.98679,6453.391857129,35723,49634,81072,139436,644,121186,202438,20095,3823.1165049,641708,78,33.2,14.1,100.45,NA
2024-2025,Feb,24,ODISHA,2429,RAYAGADA,5309506,266.456043058762,48,377,5112.630244455,16905,0,26703,3611762,631469,34865,2263547,125360,240.49943,14976.887784355,74620,103219,126627,203935,5838,163866,253952,43608,9623.75810989999,1770065,52,57.7,10.1,99.52,NA
2024-2025,Feb,24,ODISHA,2431,MALKANGIRI,3373200,253.660577995396,52,352,4826.593216005,13066,0,19108,3282604,776003,40210,1973948,94363,219.18843,13372.453925705,62637,85784,99755,161710,6395,119401,187954,32174,8326.67227969999,1429692,65,38.51,34.97,99.66,NA
2024-2025,Feb,24,ODISHA,2412,GANJAM,19309025,229.127512156796,36,253,12112.241247972,32282,0,31510,4971499,748831,102973,291797,28102,744.73702,24248.050243572,135095,155975,406519,588732,2194,450400,645548,63792,11391.0719756,2900532,44,41.38,24.88,100.51,NA
2024-2025,Feb,24,ODISHA,2414,BARGARH,3849427,305.806926497478,43,181,1189.452569952,17090,0,15561,2427631,386983,45763,612364,60056,381.78453,8995.100847752,56167,87424,135708,258641,3908,203451,360515,32651,7423.8637478,1002187,69,32.34,48.59,99.89,NA
2024-2025,Feb,24,ODISHA,2418,KENDRAPARA,1996716,255.184608133868,28,108,438.078060334,8363,0,19662,664653,113875,43737,2003,1283,149.62049,2283.790703834,23012,31308,129296,227684,51,221280,357461,28025,1696.0921535,288670,49,40.07,2.63,99.78,NA
2024-2025,Feb,24,ODISHA,2429,RAYAGADA,5309506,266.770899106166,48,376,5111.774644455,16787,0,26619,3588475,626849,34814,2249253,125299,240.49943,14925.281096155,74378,102822,126514,203800,5747,163555,253448,43406,9573.0070217,1758321,52,57.68,10.15,99.52,NA
2024-2025,Feb,24,ODISHA,2402,SUNDARGARH,9302751,251.836712040069,53,503,4949.919186687,28693,0,22747,7902280,662118,30970,5455238,245615,526.72206,25377.483374887,148095,194291,222129,354813,12212,266858,419042,51440,19900.8421282,3842600,68,34.76,42,99.82,NA
2024-2025,Feb,24,ODISHA,2406,CUTTACK,2181593,250.469277687488,29,57,1602.953716793,9165,0,12617,647296,87504,47405,36175,10748,146.5136,3370.744932493,22253,32186,122859,242209,100,226732,405256,21782,1621.2776157,299802,64,33.63,14.99,99.8,NA
2024-2025,Feb,24,ODISHA,2412,GANJAM,19309025,228.364520908424,37,265,12122.847297972,32347,0,31562,5154860,780346,103038,298973,28111,744.73702,24639.455660472,137865,159386,406785,589271,2315,452387,648414,63909,11771.8713425,3016481,44,41.44,24.71,100.49,NA
2024-2025,Feb,24,ODISHA,2413,PURI,1772439,259.48462681711,29,86,1086.539226432,19356,0,17400,1158708,189622,39951,5216,1068,209.65645,4302.864806132,39535,61068,122432,253730,282,220338,415023,36756,3006.6691297,511840,85,30.71,9.11,99.68,NA
2024-2025,Feb,24,ODISHA,2418,KENDRAPARA,1996716,253.848926982597,28,108,438.088060334,8727,0,19769,693232,119555,43798,2084,1284,149.62049,2347.470543834,23933,32562,129490,228161,51,223579,360575,28496,1759.7619935,300238,50,39.81,2.65,99.77,NA
2024-2025,Feb,24,ODISHA,2419,JAGATSINGHAPUR,1388632,256.055811471598,27,93,1601.452334688,5802,0,8981,636424,76082,24857,2080,574,112.3043,3343.357272288,23145,34101,82659,141399,150,142080,225692,14783,1629.6006376,272653,53,50.11,4.95,99.73,NA
2024-2025,Feb,24,ODISHA,2421,ANGUL,3854357,254.133134474564,41,143,4099.739591803,12807,2,18068,1963085,219891,32590,270821,32915,173.06297,9261.652004703,47770,65712,139822,244129,1296,187475,313167,30875,4988.8494429,1008578,58,52.09,7.73,99.81,NA
2024-2025,Feb,24,ODISHA,2427,SONEPUR,1792934,257.38349075802,41,51,2439.626582229,9709,0,10403,1504169,248265,27767,112760,10614,190.98679,6502.096051329,35973,50008,81122,139520,656,121450,202821,20112,3871.4826791,648600,78,33.09,14.08,100.44,NA
2024-2025,Feb,24,ODISHA,2429,RAYAGADA,5309506,266.327539163551,48,377,5113.672744455,17799,0,26569,3639864,638575,34890,2278553,125374,240.49943,15048.132394555,74986,103717,126676,203984,5922,164074,254249,44368,9693.96022009999,1783985,53,57.84,10.03,99.52,NA
2024-2025,Feb,24,ODISHA,2431,MALKANGIRI,3373200,253.735664382216,52,351,4827.900416005,13169,0,19055,3309330,782238,40235,1991068,94426,219.18843,13444.039308105,62853,86083,99840,161819,6508,119689,188307,32224,8396.9504621,1441126,65,38.45,34.96,99.66,NA
2024-2025,Nov,24,ODISHA,2405,BALESHWAR,2178971,258.118697880315,32,148,2199.589519845,20220,0,46477,1455688,224741,44258,97116,18615,171.44627,6128.438700645,44718,60311,161060,270304,109,254034,406865,66697,3757.4029108,727213,77,30.44,4.51,99.71,NA
2024-2025,Nov,24,ODISHA,2407,DHENKANAL,3829001,260.844800343881,38,109,3742.53542068,9820,0,16859,1668018,283552,51516,281775,37781,180.12494,8273.59858248,43275,58021,156406,272095,733,199567,340894,26679,4350.9382218,797270,59,43.42,20.23,99.3,NA
2024-2025,Nov,24,ODISHA,2409,BOLANGIR,6871981,303.546002260765,46,439,7425.06652618999,28803,0,43456,5378710,746878,67816,1167759,100423,347.909,24099.83470439,115866,189557,232517,437417,10158,287478,523006,72259,16326.8591782,2339452,74,36.08,49.62,99.72,NA
2024-2025,Nov,24,ODISHA,2414,BARGARH,2934817,303.785891531788,35,145,886.370170649,16107,0,17629,1673541,263121,44988,408017,59294,285.9686,6256.320217649,46639,70953,133457,254668,1711,189134,338703,33736,5083.981447,690546,72,32.59,44.86,99.87,NA
2024-2025,Nov,24,ODISHA,2420,JAJPUR,2331133,258.016887731566,29,70,1691.499429707,9842,0,15006,860607,163308,46403,51173,12518,126.85577,4038.866596707,28763,37891,136392,217182,89,201024,302126,24848,2220.511397,357110,52,69.49,5.95,99.56,NA
2024-2025,Nov,24,ODISHA,2424,GAJAPATI,2521751,280.180572423124,38,115,2922.326537694,8805,0,20345,1763608,105171,11132,1206227,111268,172.89211,8036.505637394,45798,66706,91003,169140,1812,110625,197446,29150,4941.2869897,883370,63,50.05,22.39,99.54,NA
2024-2025,Oct,24,ODISHA,2403,KENDUJHAR,6249090,252.111215578371,31,283,2510.050209307,20031,0,59159,3056109,319065,48032,1515047,209656,156.13236,10370.976118607,95677,135672,250377,449497,1022,314849,538358,79190,7704.7935493,1585035,86,29.67,13.29,99.7,NA
2024-2025,Oct,24,ODISHA,2404,MAYURBHANJ,8254638,256.442708964036,37,285,6674.09365035799,50499,0,117144,6058722,563837,57750,3007572,306923,242.92229,22454.166765758,161084,208554,351888,581288,1894,431938,689566,167643,15537.1508254,3163565,86,33.22,6.77,99.62,NA
2024-2025,Oct,24,ODISHA,2413,PURI,1364880,267.96124244516,25,40,912.15287201,12107,0,20796,580919,110554,38691,2901,1020,141.55885,2610.34949201,23209,35136,118968,244477,98,194935,369700,32903,1556.63777,262977,85,31.27,10.95,99.57,NA
2024-2025,Oct,24,ODISHA,2423,KHORDHA,1050396,254.481153127874,25,51,1327.674095472,3691,0,9150,320745,30089,16208,20419,8632,55.32392,2199.233590072,12399,17011,66865,123301,90,109275,189921,12841,816.2355746,141288,54,49.2,18.24,99.79,NA
2024-2025,Oct,24,ODISHA,2428,NUAPADA,2486358,331.935159021997,46,450,2390.051776535,20036,0,33288,2102162,276739,27072,793491,76354,73.87273,9441.739284135,44942,81949,86798,195315,4642,99131,215728,53324,6977.8147776,972340,78,42.81,18.79,99.59,NA
2024-2025,Oct,24,ODISHA,2430,NABARANGAPUR,4677853,268.721152261141,40,157,6080.321007032,10939,0,39049,2763141,419946,41016,1352674,145607,113.60006,13619.065400832,67878,91827,163860,267101,2062,209785,330498,49988,7425.1443338,1267912,73,32.32,29.46,99.31,NA
2024-2025,Oct,24,ODISHA,2403,KENDUJHAR,6249090,252.774631605142,31,283,2508.970569307,19792,0,59324,3001847,313714,48021,1482481,209561,156.13236,10253.010624907,94674,134137,250294,449327,973,314816,538256,79116,7587.9076956,1556851,86,29.88,12.92,99.7,NA
2024-2025,Oct,24,ODISHA,2406,CUTTACK,1711484,252.726312968653,27,50,1485.156313646,5466,0,17592,404884,55119,46680,24904,10599,84.28354,2592.688258646,14966,21286,121415,237737,50,202096,367947,23058,1023.248405,187399,67,41.3,17.07,99.71,NA
2024-2025,Oct,24,ODISHA,2407,DHENKANAL,3460019,259.070497931882,33,100,3642.69375854,8542,0,18510,1307227,223861,51439,225431,37681,111.1649,7140.49815654,38501,51313,155961,271374,403,198935,339954,27052,3386.639498,627020,60,40.22,20.82,99.23,NA
2024-2025,Oct,24,ODISHA,2410,KALAHANDI,5034732,310.443053554001,41,297,9676.349546557,20868,0,36861,3926392,749538,67009,1331606,123748,165.64057,22031.201335857,95193,149593,214129,388062,7110,271232,471298,57729,12189.2112193,1881889,53,27.45,47.24,99.61,NA
2024-2025,Oct,24,ODISHA,2412,GANJAM,14591093,230.93480196698,28,183,9790.539798616,22398,0,38601,2614160,389598,101758,147222,27721,399.44136,16226.986377716,91260,103498,403124,581158,435,434810,621212,60999,6037.0052191,1506094,47,42.11,29.28,99.35,NA
2024-2025,Oct,24,ODISHA,2414,BARGARH,2573983,297.827211261693,31,113,857.995575049,13919,0,19695,1167320,172763,44579,270486,58848,197.50256,4532.094737549,36510,54219,131981,252446,870,187942,337241,33614,3476.5966025,493110,73,38.77,35,99.82,NA
2024-2025,Oct,24,ODISHA,2421,ANGUL,2703335,255.799885526747,32,94,3705.641050853,9363,2,23025,1001544,123401,33055,166881,34369,114.55854,6382.147996353,30878,41441,137389,244251,237,170616,293051,32388,2561.9484055,523143,63,56.47,9.11,99.79,NA
2024-2025,Oct,24,ODISHA,2423,KHORDHA,1050396,254.57523367355,25,51,1327.553855472,3683,0,9142,315975,29708,16201,19916,8626,55.32392,2187.271870072,12202,16738,66823,123224,89,109268,189908,12825,804.3940946,138975,54,49.3,18.13,99.78,NA
2024-2025,Oct,24,ODISHA,2427,SONEPUR,1239847,259.360207555863,34,29,2054.298070639,6983,0,13424,935459,162526,27170,68659,10275,92.99387,4573.500344639,27047,36864,78869,135460,285,116423,194504,20407,2426.208404,411836,80,35.68,16.19,99.45,NA
2024-2025,Oct,24,ODISHA,2430,NABARANGAPUR,4677853,268.769501593315,40,156,6077.850851832,10861,0,39103,2732668,413276,41005,1338363,145580,113.60006,13536.029075632,67575,91379,163806,267029,2000,209687,330372,49964,7344.5781638,1253945,73,32.38,29.41,99.29,NA
2024-2025,Oct,24,ODISHA,2403,KENDUJHAR,6249090,251.09587194851,31,283,2508.970569307,19816,0,59337,3026595,316022,48027,1498244,209615,156.13236,10264.758034907,95097,134802,250340,449426,998,314838,538325,79153,7599.6551056,1570055,86,29.78,13.14,99.7,NA
2024-2025,Oct,24,ODISHA,2409,BOLANGIR,6037210,304.041385012612,41,408,6835.89266507299,20695,0,52721,4241326,582105,67537,895118,99826,254.1543,19985.433278373,102303,165973,231085,435044,6928,286181,521129,73416,12895.3863133,1859546,75,35.43,49.58,99.63,NA
2024-2025,Oct,24,ODISHA,2415,JHARSUGUDA,1014845,253.901358600347,32,23,737.679466564001,4585,0,5771,444796,98317,19426,196639,41301,66.68413,1933.706683564,13582,18940,49396,94717,193,63268,115906,10356,1129.343087,218864,64,43.51,17.72,99.73,NA
2024-2025,Oct,24,ODISHA,2418,KENDRAPARA,1553376,257.792561438004,25,62,412.135967642,6222,0,24270,397718,68279,43065,1098,1296,102.25783,1539.681217142,15639,21224,127849,223570,25,195530,322045,30492,1025.2874195,175860,53,42.4,3.54,99.62,NA
2024-2025,Oct,24,ODISHA,2427,SONEPUR,1239847,259.168619377059,34,30,2054.298070639,6999,0,13412,938388,162852,27178,68793,10275,92.99387,4579.299164639,27155,37019,78880,135476,285,116436,194525,20411,2432.007224,413024,80,35.74,16.17,99.45,NA
2024-2025,Feb,24,ODISHA,2401,SAMBALPUR,2494699,253.66316546894,42,111,1027.165186376,12782,0,10574,1970539,281785,24846,1018928,80170,245.6907,6271.387490576,46184,66693,92143,162927,1620,131553,229506,23356,4998.5316042,909191,66,31.68,42.57,99.74,NA
2024-2025,Feb,24,ODISHA,2402,SUNDARGARH,9302751,252.393304922421,52,494,4934.148442687,28512,0,22673,7687539,644877,30981,5302412,245018,526.72206,24863.704251987,145978,191332,221601,354098,11406,257979,407600,51185,19402.8337493,3734759,68,34.85,41.62,99.82,NA
2024-2025,Feb,24,ODISHA,2409,BOLANGIR,8683680,304.953925642847,52,491,8718.70836900498,31693,0,38858,6938270,965657,68721,1532069,101584,451.94373,30329.1788357049,131869,218181,235302,443429,15635,305841,555407,70551,21158.5267367,3031807,72,34.11,51.41,99.79,NA
2024-2025,Feb,24,ODISHA,2412,GANJAM,19309025,229.261807910062,36,253,12110.370757972,32274,0,31501,4937458,742997,102964,290489,28096,744.73702,24174.813253572,134308,155037,406472,588645,2173,449868,644768,63775,11319.7054756,2878519,44,41.4,24.9,100.51,NA
2024-2025,Feb,24,ODISHA,2430,NABARANGAPUR,6250852,276.837424253433,51,190,7737.054722515,14454,0,29155,4555751,697259,41944,2257767,145450,229.77868,20578.857126315,88283,120688,168219,268997,7342,217833,336777,43609,12612.0237238,2072455,66,34.93,27.32,99.55,NA
2024-2025,Feb,24,ODISHA,2402,SUNDARGARH,9302751,252.73312284876,51,490,4922.001092687,28375,0,22577,7451805,626725,30924,5131160,244351,455.72734,24210.907917787,144055,188591,221079,353188,10680,252239,399722,50952,18833.1794851,3617844,68,34.89,41.21,99.81,NA
2024-2025,Feb,24,ODISHA,2404,MAYURBHANJ,11679856,256.853962285867,44,365,8720.106777533,108496,0,70376,8584103,784095,58359,4334878,311245,553.90977,31322.625229733,192263,252842,357310,590269,5069,447795,713606,178872,22048.6086822,4459113,86,37.81,9.07,100.07,NA
2024-2025,Feb,24,ODISHA,2406,CUTTACK,2181593,251.985322602861,28,57,1602.624056793,8769,0,12730,609852,81034,47099,34198,10708,141.53535,3280.896936393,21244,30676,122648,241139,95,217147,390942,21499,1536.7375296,282913,63,34.26,14.85,99.81,NA
2024-2025,Feb,24,ODISHA,2410,KALAHANDI,7545147,313.241158131847,56,363,12412.521167319,27768,0,32419,7150533,1351442,68780,2467292,127103,279.91784,35090.8513891189,126654,203654,219386,398855,17356,286973,498725,60187,22398.4123817999,3432758,49,25.6,49.03,99.75,NA
2024-2025,Feb,24,ODISHA,2415,JHARSUGUDA,1462691,254.371352482629,42,42,866.855618182001,5925,0,4189,904263,193992,19718,411067,41848,122.91276,3289.954401282,21061,30766,50243,96087,1028,65336,118703,10114,2300.1860231,428106,60,40.9,24.58,99.84,NA
2024-2025,Feb,24,ODISHA,2421,ANGUL,3854357,254.031203137734,40,134,4099.384851803,12537,2,18084,1845408,209000,32513,256005,32830,171.27051,8958.567507003,45894,62923,139251,243152,1156,179969,302369,30621,4687.9121452,950297,58,52.43,7.84,99.8,NA
2024-2025,Feb,24,ODISHA,2424,GAJAPATI,3036893,283.365889168109,46,150,3465.466509187,10308,0,19518,2581008,140942,11262,1796522,113795,223.72165,11002.884427887,55528,82953,92775,173084,4054,114657,205224,29826,7313.69626870002,1304673,61,44.77,26.19,99.69,NA
2024-2025,Feb,24,ODISHA,2428,NUAPADA,3755058,342.547005351486,72,785,3307.989139949,28869,0,28574,4725603,599399,28241,1766170,78781,187.77031,19683.171011249,65068,125699,90190,203684,15910,104173,227360,57443,16187.4115613,2188039,76,45.92,23.54,99.75,NA
2024-2025,Feb,24,ODISHA,2429,RAYAGADA,5309506,267.076862425631,48,373,5105.832844455,16520,0,26617,3546351,620220,34723,2221354,124986,216.93727,14794.253095855,73618,101735,126149,203285,5624,162715,252187,43137,9471.4829814,1737404,52,57.87,10.19,99.51,NA
2024-2025,Feb,24,ODISHA,2404,MAYURBHANJ,11679856,256.782880054165,44,365,8729.700757533,108579,0,70392,8665403,791298,58383,4378605,311486,647.5197,31628.491849233,193250,254349,357578,590716,5215,449710,716574,178971,22251.2713917,4501759,86,37.88,9.16,100.08,NA
2024-2025,Feb,24,ODISHA,2407,DHENKANAL,4622474,258.348020058803,41,120,4150.182224818,11630,0,15195,2108401,340337,51830,330091,38010,249.97294,9847.167403218,51042,69565,157606,274472,1047,208092,353648,26825,5447.0122384,1013134,58,44.75,19.43,99.41,NA
2024-2025,Feb,24,ODISHA,2409,BOLANGIR,8683680,305.310790505379,52,490,8716.70239900498,31692,0,38828,6886215,958171,68700,1518873,101528,451.94373,30193.0035814049,131394,217322,235226,443275,15470,304248,552684,70520,21024.3574524,3008264,72,34.26,51.24,99.79,NA
