fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Nov,24,ODISHA,2416,DEOGARH,972915,264.930875603463,34,135,1497.513254559,3440,0,4569,677133,79800,13327,232337,29722,82.59781,3374.045450459,19778,29629,49520,90633,250,65135,115648,8009,1793.9343859,344284,36,52.13,20.21,99.82,NA
2024-2025,Nov,24,ODISHA,2424,GAJAPATI,2521751,279.027825098879,37,114,2911.079137694,8679,0,21561,1681350,100030,11142,1147824,111112,172.89211,7775.405584994,44650,64815,90890,168985,1632,110507,197269,30240,4691.4343373,841833,64,50.34,21.9,99.51,NA
2024-2025,Nov,24,ODISHA,2428,NUAPADA,2858816,337.100432801759,53,578,2541.454833985,23226,0,31920,2883260,374455,27285,1101772,76725,88.3001,12349.236872785,54215,101088,87543,196409,7472,99816,216865,55146,9719.48193880001,1329558,77,44.95,21.74,99.67,NA
2024-2025,July,24,ODISHA,2410,KALAHANDI,3054527,304.779236373783,32,244,8262.988344297,16566,0,38301,2587457,475198,68085,864445,125940,63.99027,16213.010300397,79504,123909,214368,394162,2968,272047,479632,54867,7886.0316861,1240814,52,28.19,47.26,99.74,NA
2024-2025,July,24,ODISHA,2413,PURI,1068348,269.185550431134,23,37,846.364623477,9857,0,22311,464009,90115,39312,2242,1046,94.06597,2189.475774177,20148,30394,118859,248435,44,194363,373339,32168,1249.0451807,211697,85,20.71,20.28,99.45,NA
2024-2025,July,24,ODISHA,2422,NAYAGARH,1550596,259.704329746862,29,63,2986.32071715001,4765,1,22797,738609,79179,25181,61238,15983,49.3329,4953.85317005001,24996,37819,112939,235085,53,167779,336855,27562,1918.1995529,342008,71,46.46,24.07,99.69,NA
2024-2025,July,24,ODISHA,2426,BOUDH,1039421,256.158322665628,30,28,1518.7385094651,4061,0,16054,775862,144210,28213,85889,14906,50.03565,3556.2092448651,25222,38599,72988,137972,78,95384,172679,20115,1987.4350854,358727,79,42.68,21.37,99.49,NA
2024-2025,July,24,ODISHA,2428,NUAPADA,1492914,326.107341404738,38,334,1904.430675131,15479,0,36134,1350529,179404,27342,500631,77643,24.14208,6332.746971931,35258,63061,86768,198190,2119,99204,218879,51613,4404.1742168,625726,78,44.75,14.73,99.84,NA
2024-2025,July,24,ODISHA,2408,KANDHAMAL,4153694,255.905102130407,39,2700,5659.111347432,11828,0,40607,4011440,862839,53823,2215185,135300,96.75155,16021.342526332,100700,150270,146256,244047,3995,155436,260990,52435,10265.4796289,2003221,56,32.72,47.52,99.73,NA
2024-2025,July,24,ODISHA,2414,BARGARH,1700680,293.335672120897,30,84,753.249700275,9871,0,22775,860433,122102,45293,195348,60280,132.38121,3409.587833975,27991,41182,132120,257271,521,188492,343458,32646,2523.9569237,365027,73,45.31,31.49,99.87,NA
2024-2025,July,24,ODISHA,2420,JAJPUR,1347054,260.051150010103,24,50,1491.57835124,5725,0,19877,524578,92879,47848,27516,13366,41.07147,2896.82094294,21596,28380,139691,225129,16,207474,314831,25602,1364.1711217,218352,55,73.33,6.91,99.53,NA
2024-2025,July,24,ODISHA,2422,NAYAGARH,1550596,259.287480422903,29,63,2986.32071715001,4799,0,22766,740406,79368,25150,61539,15887,59.70916,4965.80993945001,25093,37963,112880,234741,53,167715,336491,27565,1919.7800623,342802,71,46.47,24.02,99.7,NA
2024-2025,July,24,ODISHA,2431,MALKANGIRI,1452487,256.771487203639,32,207,3145.96130217,6360,0,25911,1099883,292486,38530,623264,90668,39.87389,6010.02112877,34013,45055,94629,155182,593,111601,178504,32271,2824.1859366,493383,73,55.87,11.5,99.71,NA
2024-2025,July,24,ODISHA,2412,GANJAM,10201814,233.721486853451,22,123,8943.520542084,15580,0,43414,1490315,216352,102556,78726,27931,161.78317,12588.490088884,65617,73553,405951,587198,59,437315,626722,58994,3483.1863768,859607,47,43.58,30.29,99.67,NA
2024-2025,July,24,ODISHA,2417,BHADRAK,1485379,263.782761599983,24,65,2170.646836287,5152,0,40686,577781,81666,30273,3976,1537,65.2117,3759.945214087,23537,30595,139080,209934,19,204782,297983,45838,1524.0866778,267549,77,32.07,7.05,99.55,NA
2024-2025,July,24,ODISHA,2402,SUNDARGARH,4605417,255.143480375939,30,201,3523.433768468,13572,0,42722,2339526,182682,31685,1620555,250858,177.62416,9670.205989168,76779,96306,219800,361848,564,243353,398513,56294,5969.1480607,1172746,75,38.88,30.8,99.75,NA
